F1,id,Lat,Long,Pr,d_o,m_n,N_o_r,r_p_m,ava_2020,room_type
471,177606,40.74112,-73.97686,189,11,6,101,1.01,341,1
472,179670,40.72019,-73.98217,130,4,3,111,1.11,355,0
475,180507,40.75744,-73.92163,300,0,30,21,0.21,279,1
476,180792,40.75695,-73.9202,220,29,30,25,0.25,357,1
477,181972,40.8296,-73.94651,199,336,2,126,1.26,44,1
478,182069,40.79056,-73.9468,120,88,4,102,1.02,333,1
479,182177,40.86466,-73.85709,125,22,2,295,2.93,270,1
480,182649,40.71312,-73.96199,70,293,2,254,2.55,50,0
482,187566,40.69242,-73.95097,99,39,2,209,2.09,314,1
485,188661,40.68262,-73.97299,170,120,3,67,0.67,0,1
487,189135,40.76311,-73.99388,99,14,1,97,1.03,358,0
489,189732,40.67497,-73.87305,169,29,3,192,1.92,334,1
490,189787,40.66788,-73.94813,99,263,4,101,1,12,1
492,190542,40.68967,-73.95445,160,5,3,46,0.46,355,1
493,190968,40.67946,-73.96501,215,209,3,36,0.36,168,1
494,190974,40.66944,-73.98083,130,60,3,195,2.08,345,1
495,191075,40.72566,-73.97748,110,18,3,84,0.84,136,0
496,191610,40.74639,-74.00352,111,291,3,74,0.77,48,0
497,193105,40.7709,-73.99181,139,355,28,45,0.45,159,0
498,193333,40.71943,-73.95958,72,40,31,53,0.53,365,0
499,193393,40.74249,-73.92466,75,357,2,176,1.75,0,0
501,194154,40.7969,-73.96128,89,26,6,35,0.35,94,0
502,195123,40.83403,-73.94553,50,12,1,230,2.28,0,0
503,195233,40.65513,-73.95641,43,328,1,500,7.63,0,0
504,195240,40.65589,-73.95539,42,323,1,79,0.87,92,0
505,195578,40.70275,-73.94501,85,344,1,47,0.9,0,0
506,195989,40.67617,-73.98136,105,91,3,226,2.25,0,0
508,197155,40.76415,-73.99067,149,355,2,132,1.32,0,1
509,197753,40.83127,-73.94718,68,48,2,315,3.9,249,0
511,197942,40.68497,-73.95592,99,77,3,221,2.21,336,1
512,199195,40.82922,-73.94174,75,289,3,51,0.62,54,0
513,199312,40.71137,-73.94362,100,49,2,285,2.83,288,0
515,200955,40.73089,-73.98195,160,259,30,26,0.26,156,1
517,201992,40.6755,-73.97859,190,14,4,106,1.52,328,1
520,204065,40.68634,-73.96161,248,111,2,63,0.63,0,1
521,204833,40.7093,-73.9497,100,26,2,8,0.08,354,0
522,204959,40.713,-73.99752,95,289,3,189,1.92,74,0
523,205485,40.68186,-73.94113,145,26,3,132,1.31,339,1
524,205735,40.68364,-73.91076,41,39,2,62,0.63,339,0
525,205867,40.71893,-73.9428,120,179,4,94,1.01,307,1
527,206772,40.71413,-73.96596,195,29,4,35,0.36,330,1
528,206957,40.58422,-73.94079,70,275,4,129,1.28,85,1
531,208889,40.69025,-73.93323,145,120,3,45,0.45,0,1
532,209310,40.73826,-73.92458,50,206,1,276,2.93,0,0
533,211078,40.73049,-73.96115,185,97,3,228,2.27,34,1
536,212109,40.73854,-74.00821,80,49,30,10,0.2,295,0
537,212178,40.75877,-73.98863,230,294,2,193,1.92,95,1
539,215560,40.68741,-73.95741,79,298,3,166,1.66,149,0
540,215784,40.75627,-73.9211,190,20,30,27,0.27,319,1
541,215907,40.79816,-73.9619,300,336,2,46,0.46,11,1
542,217580,40.61927,-74.0307,100,32,30,7,0.08,153,1
543,218358,40.8078,-73.95208,80,33,90,22,0.37,242,0
544,219066,40.61922,-73.99399,110,221,1,26,0.26,333,1
545,219922,40.816,-73.95545,100,279,1,37,0.41,86,0
546,220351,40.82748,-73.95153,55,205,4,101,1.01,0,0
548,220946,40.72229,-73.97901,146,125,3,151,1.52,227,1
550,221097,40.72501,-73.95185,102,102,29,22,0.22,339,1
551,222054,40.68012,-73.97847,100,16,3,25,0.25,0,0
552,222304,40.74233,-73.99865,199,286,5,34,0.34,0,1
553,222913,40.71238,-73.98329,140,178,30,222,2.27,312,1
